"word","analysis","example","etymology","affix","history","word_form","memory_aid","story"
"elect","'Elect'是一个动词，主要含义是选择或选举。该词常用在政治语境中，表达选民通过投票来选出合适的代表或候选人。","- He was elected as mayor of the city.（他被选为市长。）\n\n- I elect to take the early retirement option.（我选择提前退休。）\n\n- They have been elected to the board of directors.（他们已被选为董事会成员。）","'Elect'主要包含两部分：词根和前缀。其词根 'lect' 来自拉丁文 'legere'，意为'选择'。","'Elect'没有词缀。该单词属于三音节单词，词根为“lect”。","'Elect'源自拉丁语中的'eligere'的过去分词'electus'，意为'挑选出来的'。这个词一直沿用至今，在政治和社会生活中扮演重要角色，表示通过公众投票来选择代表或决定事项。","'Elect' 可以作为形容词，表示被选出的。如: President-elect（当选总统）","为了记住 'elect', 你可以将其关联到 'election'（选举）这个词来帮助记忆，或者思考自己的'选举' (elections) 经历。","Mark hoped to one day be elected as class president. Therefore, he worked extra hard to prove his capabilities.（马克希望有一天能当选为班长。因此，他特别努力地证明自己的能力。）"
"insulation","'Insulation' 是一个名词，它有两个主要的含义：一是在物理科学中，它表示一种避免能源流失或防止热量、电、声音的传递的材料或设备；而二是，在较为广义的意思中，它可被理解为任何形式的屏障或保护。","- The attic was thick with insulation to keep the house warm. (阁楼厚厚的保温层，使房屋保持温暖。)\n\n- To prevent a short circuit, the wires have to be wrapped in insulation. (为了防止短路，电线需要被裹在绝缘层中。)\n\n- Insulation from the realities of mass unemployment was provided by a weekly government check. (每周政府的救济金，为大众失业的现实提供了一层保护。)","'Insulation' 的词根来源于拉丁词 'insula'，意为'岛屿'，由此衍生出的含义是'使成为岛屿'或'孤立'，于是在科学中被用来指'隔绝'或'绝缘'。","单词 'insulation' 的后缀 '-tion' 表示行为或结果，前缀 'in-'，在此表示'使进入'，“使成为”。","'insula' 在中世纪拉丁语中被引申至'隔绝'或'孤立'的含义，进一步在现代英语中表示'绝缘'或'保温'。","- 名词：Insulation (绝缘，保温)\n\n- 动词：Insulate (隔热, 隔音, 绝缘)","可以用 'in + sula (sounds like 'island')' 来记，寓意'像岛一样，不与外界相连'，就能记住它的'绝缘，隔绝'的含义。","The tiny island seemed to have an invisible insulation, preventing the icy chill from creeping in yet allowing the warm sun rays to stay.(这个小岛仿佛有一层无形的绝缘层，阻止寒冷侵入却使得温暖的阳光得以留存。)  \n\n（这个小岛仿佛有一层无形的绝缘层，阻止了寒冷的侵入，却让温暖的阳光停留下来。）"
"ore","'Ore'的主要含义是矿石，通常指的是含有大量金属的岩石，人们可以从中提取并利用其中的金属。","- Iron ore is used to make steel.（铁矿石用来制造钢铁。）\n\n- Gold ore is often found in quartz veins.（金矿石通常在石英脉中找到。）\n\n- The mountainous region is rich in ore deposits.（这个山区富含矿藏。）","词根及词缀方面，'ore'并无特别之处，它自身就是一个完整的单词。","无","'Ore'这个词在英语中的使用源自奥德英语的'ār'，意为'未冶炼的金属'，而这个词再往前可以追溯到原始日耳曼语。","此外，“ore”没有标准的名词单复数之分，也没有动词、形容词、副词等变形。但有一些常见的固定搭配，比如'ore deposit'（矿石沉积），'ore body'（矿体）。","一种有效的记忆方法是将“ore”和“more”联系起来，这可以帮助你快速记住它。","Once upon a time, a miner discovered a shiny ore deep in the mountain. It was gold ore! Excited, he mined as much as he could, and eventually became rich. He used his newfound wealth to improve the lives of everyone in his village.（从前，一个矿工在山脉深处发现了一个闪亮的矿石。那是金矿石！他兴奋地尽可能多地开采，最后变得非常富有。他用新发现的财富改善了村里所有人的生活。）"
"scold","'Scold' 是一个动词，主要意思是斥责，训斥，批评，通常是因为某人做了什么不对或犯了错误。比如，一个孩子如果没有完成家庭作业，父母会 'scold' 他。","- 打破玻璃杯后，她受到妈妈的指责。(After breaking the glass cup, she was scolded by her mother.)\n\n- 老师谴责他因为他迟到了。(The teacher scolded him for being late.)\n\n- 你不能总是批评你的员工。(You cannot always scold your employees.)","'Scold'的词源和历史仍然存有争议，它可能源自古英语中的 'scuvan'，意为 '忍受痛苦'。没有直接的词根和词缀。","无","'Scold'的使用可以追溯到14世纪中叶的英格兰，当时它是用来指责或口头攻击他人的。它的使用在社会和家庭场合都很常见。","'Scold' 作为动词运用时，其现在分词形式为 'scolding'，过去式和过去分词分别为 'scolded'。例如，'She is scolding her son for his mistakes.' 意为，“她正在因为他的错误责备儿子”。 'She scolded her son for his mistakes.' 意为，“她因为他的错误责备了儿子”。","记住 'scold' 这个单词，你可以想象一个情境：在学校，一个男孩因为在课堂上做恶作剧而被老师'scold'（斥责）。","In the library, a boy speaks loudly. The librarian comes over and scolds him, 'Keep quiet! This is a library. (在图书馆里，一个男孩大声说话。图书管理员走过来责备他说，“保持安静！这是图书馆。”)"
"wring","'wring' 是一个英语动词，主要有两个含义。一是'扭，挤，榨'，比如用力地把湿的衣服扭干。二是'痛苦地获取，硬从别人那里得到'，比如 wring a confession(逼供)，这个含义比较抽象，常用于口语。","- I had to wring my clothes dry after being caught in the rain.(雨中淋湿后，我不得不把我的衣服拧干。)\n\n- The detective wrung a confession out of the suspect.(侦探从嫌疑犯那里逼出了供词。)\n\n- They are trying to wring more work out of the employees.(他们试图从员工那里榨取更多的工作。)","可能衍生自古英语的 'wringan'，意为'扭曲'。","'wr-' 是一个常见的词顶，比如 write (写)，wrong (错误)，wrist (手腕)，等等。","无","'wring' 是一个常规动词，其形式变化为：wring - wrung - wrung。","关于记忆，可以将 'wring' 与其同义词 'twist' 对比记忆，然后通过常用短语概念 'wring out'(挤干)和'wring from'(从...中榨取)来记。","Despite the heavy rain, John did not stop. He had to finish the marathon. He wrung his clothes dry, and then continued to move forward.  \n\n尽管大雨滂沱，约翰并未停下。他必须完成马拉松。他拧干了自己的衣服，然后继续向前走。"
"Futuroscope","'Futuroscope' 是法国城市波沿特（Poitiers）附近的一处科技主题公园的名字。这个词是由'Future'和'Scope'两个单词组合而成的，'Future'意为未来，而'Scope'有观察、视域的意思。所以'Futuroscope' 的字面意思可以理解为'未来观察所'或'探寻未来的地方'。","- I went to the Futuroscope, and the scientific attractions there were very interesting.（我去了未来影城，那里的科技娱乐项目非常有趣。）\n\n- Futuroscope theme park is one of the tourist attractions in France.（未来影城主题公园是法国的旅游景点之一。）\n\n- The 3D movies at Futuroscope are fascinating.（未来影城的3D电影非常棒。）","由于 Futuroscope 是由两个英文单词组合而成的，所以它并没有特定的词根。","又因为Futuroscope是个专有名词，没有特定的前后缀。","Futuroscope主题公园是在1987年开放，是世界上第一个利用现代影像(立体电影)技术的娱乐公园。","这个单词没有特别的变形或者搭配，是一个固定的词组。","记忆技巧: 分解单词为'future' 和 'scope'，一个代表'未来'，一个有'视野'或者'观察'的意思，联想到去一个地方看到未来的科技成果。","When I stepped into Futuroscope, I felt like being teleported into the future. Everywhere were exciting advances in technology showcasing. It was a fascinating adventure.(当我踏入未来影城的时候，我感觉好像被传送到了未来。到处都是展示的令人兴奋的科技成果。这是一次令人着迷的冒险。)"
"Picasso","Picasso这个名字来自于二十世纪最有影响力的画家之一Pablo Picasso（巴勃罗·毕加索)。他不仅是画家，也是雕塑家，版画家，陶瓷艺术家，舞台设计师和诗人。此词源为Spanish人名。\n\n'Picasso'主要被用作专有名词，通常指代特定的艺术作品的创作者或艺术作品本身。它也用作metonymy指代现代艺术的象征或概念。","- There are several Picasso paintings in the museum. (博物馆里有几幅毕加索的画作。)\n\n- The Picasso was auctioned off for thirty million dollars. (这幅毕加索的作品被拍卖出了三千万美元。)\n\n- Picasso's Blue Period was a time of artistic exploration for the painter. (毕加索的“蓝色时期”是这位画家进行艺术探索的一段时间。)","无","无","Picasso对于20世纪的艺术发展产生了深远影响，他尤其以创立立体主义绘画而闻名。他的作品深深地打破了传统，从一般的误认为只有冷漠的艺术才是真正的艺术的观念中解放出来，迈向了现代艺术。","无","由于'Picasso'指向的是一个人名，因此记住它的最好方法可能就是通过欣赏Picasso的艺术作品，并了解他的生活和背景。","Picasso sat in his studio, gazing at the blank canvas. A sudden burst of inspiration flooded him as he set about his newest masterpiece. His brush danced across the canvas as Picasso's Blue Period began.  \n\n(毕加索坐在工作室里，凝视着空白的画布。当他开始他的新作品时，灵感如泉涌突然涌到他心头。他的画笔在画布上轻轻飘舞，毕加索的“蓝色时期”开始了。)"
"breakthrough","'Breakthrough'在英文中是一个名词，意味着实现重大突破或者获得重大进展，在科技，医学，个人成就等各个领域都可以使用。","- We've made a major breakthrough in our negotiations.（我们在谈判中取得了重大突破。）\n\n- The scientist won a Nobel Prize for his breakthrough in cancer research.（这位科学家因其在癌症研究中的突破性成就获得了诺贝尔奖。）\n\n- Her breakthrough role was in a romantic movie.（她的突破角色是在一部浪漫电影中。）","'Breakthrough'由两部分构成：“break”和“through”。'Break'意味着“打破”，'through'意味着“穿过”，合起来就是“打破某种障碍并突破出来”。","'Breakthrough'是一个组合词，没有词缀。由'break'和'through'简单合并而成。","'Breakthrough'这个词首次在英文中出现是在1917年，最初用于描述军事上的突破。后来其含义逐渐转化，用于形容科学，医学，心理学等领域的重大进展。","'Breakthrough'一词没有相应的动词形式或其他名词形式。其对应的动词或形容词是'break through'，表达的是突破某种限制或障碍的过程。","你可以将'breakthrough'想象成一面透明的壁垒，你用力打破它，突破过去，达到了新的领域。这种画面感的联想，会帮助你记住这个词的含义。","John was a struggling painter. One day, he decided to break away from traditional styles and developed a unique abstract style. This became his breakthrough; his paintings were recognized worldwide.  \n\n约翰是一个挣扎的画家。一天，他决定摆脱传统风格，发展出一种独特的抽象风格。这成为了他的突破；他的画在全球得到了认可。"
"exquisite","“exquisite”是一个形容词，用来描述某个对象（包括人和事物）极其精致，优美，优雅或它们极其高超，精巧。","- The chef prepared an exquisite meal.（厨师烹饪了一顿精致的饭菜。）\n\n- She wore an exquisite dress to the party.（她穿了一件极其精美的裙子参加派对。）\n\n- The artist's work is exquisite in detail.（艺术家的作品在细节上非常精致。）","“exquisite”来源于拉丁语'exquisitus'，由'ex-'和'-quisitus'组成，'ex-'意为“从...出来”，'-quisitus'是'quaerere'的过去分词，意为“寻求”，综合起来就是“寻求出来的”，用以形容某事物的精致。","前缀'ex-'表示“从...出来”，词根'-quisite'表示“寻找”。","单词“exquisite”首次出现在15世纪，原意是被严格测试过或仔细挑选过的。现在我们用它来形容一种精度和庄重的美。","'Exquisitely'是副词形式，中文为“精致地”或“极好地”。例如:'The room was exquisitely decorated.'（房间装饰的恰到好处。）\n\n'Exquisiteness'是名词形式，中文为'精致'、'独特'、'优雅'。例如:'The exquisiteness of the sculpture is undeniable.'（雕塑的优雅精致不容否定。）","想象一件精致的艺术品，例如一串手工制作的项链，每个小珠子都需要'ex-'（出去）'quisite'（寻找），从而形成一件'exquisite'（精美）的艺术品。","'The jeweler crafted an exquisite necklace with such detail, it was as if stars were plucked from the night sky to adorn it.'（珠宝商精心打造了一条精致的项链，每个细节都被处理的有如夜空中被拔下的星星一般，用以装饰它。）"
"look","「Look」此單詞，常用作動詞或名詞，最常見的意思是「看」或者「看上去」。動詞形式時，表示試圖看到或者注意到某物；名詞形式時，則表示一種表達或者風格。","- Please look at the blackboard. (請看黑板。)\n\n- She has the look of a movie star. (她有電影明星的風采。)\n\n- It looks like it's going to rain. (看起來要下雨了。)","'Look'來自於中古英語的詞彙「loken」，意為觀看或者眺望。","'Look'是一個獨立單詞，沒有前後綴。","「Look」源於中古英語的「loken」，和現代英語中的「gaze」，都代表「盡量地看」的意思。從文化角度來看，這個詞表現了英語語言獨特的思維方式，即更加注重個體的觀察和發現。","- 名詞單數形式：look  \n\n- 名詞複數形式：looks  \n\n- 動詞一般現在時：look  \n\n- 動詞一般過去時：looked  \n\n- 動詞一般將來時：will look  \n\n- 形容詞：lookable  \n\n- 副詞：lookingly","「Look」與「book」韻，可以想象自己在看书时，用'Look'于'Book'这样的句子来增强记忆。","Tom was always told to look before he leaps. One day, he saw a vast blue lake in front of him. Taking a careful look, he jumped in and found a treasure.  \n\n湯姆常被告诫要三思而后行。一天，他看到了一个蔚蓝色的大湖。仔细看过后，他跳了进去，发现了一件宝藏。"
"ounce","'Ounce' 是一个英文单词，主要用作名词，有两种基本含义，一是表示'盎司'，用于度量质量的单位，在我们日常生活和一些科学实验中常常会用到；二是用于表示一种很小的量，比如“一点儿”。","- He bought an ounce of gold. (他买了一盎司的黄金。)\n\n- I don't have an ounce of energy left. (我一点能量都没有剩下。)\n\n- She doesn't seem to have an ounce of sympathy. (她似乎没有丝毫同情心。 )","'Ounce' 这个词的词根来自于拉丁语 “uncia”，意思是 'the twelfth part' （十二的一部分），表明在罗马时期，一磅被分为了十二个部分，每一部分就是 'uncia'。","此单词没有前缀或后缀。","这个词的起源可以追溯到古罗马时代，当时的一种度量单位uncia被用到现在，后经过语言演变最终形成了现在的'ounce'。","作为名词，'ounce'的复数形式是'ounces'。","你可以把 'ounce'和'盎司'的发音相联系，作为记忆的一个技巧。","Tim needed just one more ounce of flour to complete his cake recipe. Without it, his cake wouldn't be perfect. (Tim只需要再多一盎司的面粉就能完成他的蛋糕配方。没有它，他的蛋糕就不能完美了。)"
"shake","'Shake' 是一个非常常用的英语词汇，主要有两种含义。第一种是作为动词，表示“摇动”或“挥舞”，用于描述物体的快速且短暂地来回移动。第二种是作为名词，表示“摇动”的动作，或者是一种流行的冷饮（milk shake）。","- She began to shake with fear. (她开始因恐惧而颤抖。)\n\n- He shake the bottle before he opened it. (他打开瓶子前先摇了摇。)\n\n- Let's grab a milk shake at the new cafe. (咱们去新开的咖啡店喝杯奶昔吧。)","'Shake' 的词根来源于古英语的 'scacan'，意为“震动”。其他有相同词根的词有 'shaky' （摇晃的，不稳定的）、'shakeup' 对于生活或组织的重大改变）。","'Shake' 没有前缀和后缀，它是一个基本的词根。","'Shake' 的使用从古英语一直延续到现在，其表达“震动”或“摇动”的含义已经深深地根植在英语的语言和文化之中。","'Shake' 做为动词，其过去式和过去分词形式为 'shook' 和 'shaken'。如：\n\n- He shook his head. (他摇了摇头。)\n\n- The ground had been shaken by the earthquake. (地面被地震摇动过。)","想象一个场景，当你冷的时候，你会不自主地'shake'（颤抖）。或者，你在喝你最爱的 'milkshake'时，你需要先'shake'（摇）它。","Jenny held her new snow globe, gave it a good shake, and watched as the faux snow whirled around the miniature cityscape. It was mesmerizing.\n\n杰妮拿着她的新雪花球，用力摇了摇，看着假雪在微型城市景观中飞舞。它令人着迷。"
"Georgetown","'Georgetown'是以英文来称呼的地名，这个名字出现多次在世界各地，最著名的可能是位于华盛顿D.C的乔治城，这里是一个知名的历史文化区，有许多历史建筑，商店，餐厅，以及乔治城大学。在马来西亚也有著名的乔治城，这是一个历史悠久且具有世界文化遗产地位的城市。","- I visited Georgetown University during my trip to Washington D.C.(我在华盛顿D.C的旅行中参观了乔治城大学)\n\n- Georgetown in Malaysia is known for its British colonial buildings and Chinese shophouses. (马来西亚的乔治城因其英国殖民建筑和华人商厦而知名。)\n\n- We wandered around Georgetown's historic district during our vacation.(我们在假期中在乔治城的历史区荡漾。)","'George'原为人名，古时起源于希腊语georgos（地皮工人），'town' 的词源来自于古英语'tun' （围场，聚居地）。","","乔治城的名字通常源于世界各地的历史因素，例如在华盛顿D.C，乔治城的名字来自于英国的国王乔治二世；而在马来西亚，则是为了纪念英国国王乔治三世。","作为地名，“Georgetown”并无### 单词变形\n\n或组词。不过'George'和'town'各自可以和其他词语组合形成新的单词，例如'Georges' 'George's' 'township' 'downtown'等。","由于'Georgetown'的常见性，您可以通过记忆著名城市或地标来记住这个名字。例如，想起乔治城大学可以帮助您记住这个名字。","Last summer, I went to Georgetown, Washington D.C. The classic bricks and cobblestone streets stole my heart. It was like stepping into a different era. (去年夏天，我出游到华盛顿D.C的乔治城。那些古老的砖石和鹅卵石街道令我为之倾心。仿佛我踏入了另一个时代。)"
"SAP","SAP 是一个专有名词，全名为 'Systems, Applications & Products in Data Processing'，其用途非常广泛，主要用于企业资源规划 (ERP)。","- Our company uses SAP software.（我们公司使用SAP软件。）\n\n- The operation of SAP software is a bit complicated and requires professional training.（SAP软件的操作有些复杂，需要专业培训。）\n\n- With SAP, our enterprise resource management has become more efficient.（有了SAP，我们的企业资源管理变得更高效了。）","SAP 并不是一个英文词根，而是一个缩写。","SAP ，全称为 Systems, Applications & Products in Data Processing，这个单词本身没有前缀或后缀。","SAP AG 是德国一家在全球运营的企业，专门从事研发和推广ERP系统，是全球最大的业务管理和协同合作软件供应商之一。","SAP 为专有名词，无其他形式变化。","你可以将SAP记忆为：System Application Product，意为“系统应用产品”，从而更容易记住SAP的具体的含义。","'John worked in a manufacturing company. One day, the company decided to use SAP software to help manage their workflow. John, with other team members, received intensive training on how to use SAP because it can optimize their work process, making it more efficient.'  \n\n（约翰在一个制造公司工作。有一天，公司决定使用SAP软件来帮助管理他们的工作流程。约翰与其他团队成员一起，接受了如何使用SAP的强化培训，因为它可以优化他们的工作流程，使之更高效。）"
"bungalow","'Bungalow' 是一个来自南亚的英语词汇，用于形容一种平单层的住宅，通常包含一个阁楼。这是一个类型的建筑风格，在全球的许多地方都很流行。","- They bought a small bungalow near the beach. (他们买了一座靠近海滩的小平房。)\n\n- The bungalow style house is particularly popular in the countryside. (平房风格的房屋在乡村地区特别受欢迎。)\n\n- She lives in a white bungalow which has a beautiful garden. (她住在一座有美丽花园的白色平房里。)","假如我们要分析“bungalow”的词根，我们实际上要回到词的 बंगला 原始印地语词，意为“属于孟加拉的”，最初描述一种独特的孟加拉式房屋。","'bungalow'与词缀关系不大，因为它的形态并没有通过词缀的添加或删除而改变。","Bungalow这个词来自印度语词汇，意为“孟加拉的”，最初用来形容一种特有的存在于孟加拉地区的住宅类型。在19世纪的英帝国主义时期，随着英国人在印度的活动，这种单层小屋的风格被引入到了英国，以及全世界的其他地方。","'bungalow' 是一个名词，所以它没有动词、形容词和副词形式。它的复数形式是 'bungalows'。（平房的复数形式是平房。）\n\n词组包括: detached bungalow (独立平房)， semi-detached bungalow（半独立式平房）","想象你在一个美丽的海滩上，你的眼前是一座别致的小平房（bungalow）。","John loved his seaside bungalow. Every morning, he woke up to the sound of waves and seagulls. Life was perfect in this small, but beautiful, bungalow by the sea.(约翰喜欢他的海滨平房。每天早上，他都会被海浪和海鸥的声音唤醒。在这个小而美丽的海边平房里，生活就是如此完美。)"
"fade","Fade是一个动词，其基本意思就是“逐渐消失”或“褪色”。","- The sun faded into the horizon. 太阳逐渐消失在地平线以下。\n\n- The colors of the clothes faded after several washes. 衣服的颜色经过几次洗涤后褪了色。\n\n- Her smile fades as she reads the letter. 当她读到这封信时，她的笑容逐渐消失。","Fade来源于中古英语的'fadian'，意为“失去光泽或鲜艳”。","Fade没有词缀；整词就是一个词根。","'Fade'的来源可能是斯堪的纳维亚语系，具有褪色或漂白的意义。在美式英语中，“fade”还有在社交媒体视觉元素中逐渐减少或消失的特殊含义，如：“fade out”。","- 名词：fading ，意为“逐渐消失”，例如： The fading of her hope filled her with despair. 希望的消失让她充满了绝望。\n\n- 形容词: faded，意为“褪色的，旧的”，例如： You could clearly see the picture had faded. 你可以清楚地看到这幅画已经褪色了。","你可以联想到所有你知道的颜色，然后再想象它们逐渐“fade”（褪色）成越来越淡的，直到最后消失，这样就能在脑海里脑形成一幅图画，而这幅图画就能帮助你记住这个单词以及它的意思。","In an old town, Sarah found a faded picture. It was a beautiful landscape painting. As Sarah held the picture up to the light, a smile spread across her face.\n\n在一个古老的小镇，萨拉发现了一幅褪色的画。那是一幅美丽的风景画。当萨拉把画举向光线，她的脸上顿时露出了微笑。"
"march","'March'作为名词用法时，主要有两个含义，一是指'三月'，二是指'行军'或者'游行'。作为动词，它的意思是'行走'或者'行进'。","- I visited Tokyo in March. (我在三月份访问了东京。)  \n\n- They marched through the city to protest against the cuts. (他们游行穿过全城，对削减预算表示抗议。)  \n\n- The soldiers were marching to the beat. (士兵们按着节拍行走。)","'March'来自于拉丁词'Martius'，是指火星神“Mars”，它因为三月是罗马历年的开始，也就是战争开始的时间，所以用战神来命名。","“March”给出的是原词形态，没有过多的词缀前后缀形态。","'March'最早可以追溯到公元前8世纪时的罗马历，最开始十二个月份都有名字，而'Martius'就是其中之一。罗马历十个月制中，“Martius”是第一月，因此被视为元旦或新的一年的开始。","过去式和过去分词形式：'marched'  \n\n现在进行时：'marching'  \n\n常见的固定搭配有：“march to the beat”（按照节拍前进）","把“March”和“三月”、“行走”、“行军”在脑海中形象地联接起来，比如设想一支军队在三月的清晨出发，整齐划一地行军。","Tom decided to go on a march for peace in his city during March. Despite the cold weather, the warmth in his heart kept him moving forwards.(汤姆决定在三月的时候为他的城市的和平进行游行。尽管天气很冷，但他心中的热情让他继续前行。)"
"plunder","'Plunder' 是一个动词，意思是抢劫，掠夺。从更广泛的意义上说，它可以用来表示采集或获取大量的东西，尤其是以不公正而又敏捷的方式。","- The thieves plundered the village of all its valuable items. (强盗们将村子里所有珍贵的物品都掠夺了。)\n\n- During the war, it was common for soldiers to plunder from civilians. (在战争中，士兵们通常会掠夺平民。)\n\n- The corporate leader was accused of plundering the company's resources. (公司领导被指控掠夺公司的资源。)","英语单词 'plunder' 是由德语词汇 'plündern' 演变而来。","'Plunder' 是个单根词，没有词缀。","该词于1630年左右被移植到英语中，取自德文 'plündern' (抢夺)，在近代英语中有时会用此词来描述非法，不公正的获取财物行为。","- 名词形式：plunder, plunders, plunderer, plunderers（抢劫者）\n\n- 动词形式：plundered, plundering (正在掠夺)","'plunder' 的读音类似于 '扑噜的'，你可以想象成抢劫者'扑噜的'一下手快把物品都掠夺走。这种联想法可以帮助你记忆这个词。","Once a king sent his troops to plunder a peaceful village. They took all the valuable things they could find. It was a sad day for the villagers. (曾经，国王派遣军队去掠夺一个平静的村庄。他们拿走了能找到的所有有价值的东西。对村民们来说，那是个悲哀的日子)。"
"slip","'Slip'是一个非常常用的英语单词，具有多种含义和用法。它既可以作为动词，也可以作为名词。作为动词的时候，它的一般含义是“滑动，滑倒”，“悄悄地移动”，或者“犯错误”。作为名词，它可以表示“滑倒”，“小错误”，或是“纸片”。","- Be careful not to slip on the icy sidewalk.(小心不要在结冰的人行道上滑倒。)\n\n- The spy slipped into the night, unnoticed.(那个间谍悄然无踪地溜进了夜晚。)\n\n- He let his true feelings slip during the conversation.(他在谈话中无意中显露出了真实的感情。)","'Slip'是一个没有词根的英语单词，也就是说，它自身就是一个词根。","与'slip'相关的词缀主要是它的后缀，诸如-slipped, -slipping等，这些都是'slip'的### 单词变形。","'Slip'这个词在英语中的使用追溯到公元前7世纪，源自古英语'slippen'，意思是滑动或滑落。此后，“slip”的意义逐渐演变，包括悄悄移动或犯错的含义。","- 名词：slip, slips\n\n- 动词： slips, slipped, slipping\n\n- 副词 / 形容词：（单、复数形式） slips\n\n- 固定搭配：let something slip (无意地说漏嘴), give someone the slip (摆脱某人)","你可以记住'slip'和'slide'都有“滑”的含义，并且它们都以's'开头，用以帮助记忆。","One winter evening, a boy wanted to slip out for a snowball fight. He was so excited that he didn't notice the icy steps and had a slip, dropping his mittens. Yet, his mischievous smile never slipped away.（一个冬天的晚上，一个男孩想要偷偷溜出去打雪仗。他兴奋得没有注意到结冰的台阶，还滑了一跤，手套也掉了。然而，他的鬼皮皮笑容从未离开过他的脸。）"
"Hussey","'Hussey' 是一个少见的英文单词，它是早期英语中女人或少女的另一种表达方式，但是随着时间的变迁，它逐渐演变成了对于行为放荡，不道德的女性的轻蔑称呼。因此现在使用这个单词要特别小心，可能会冒犯别人。同时，“Hussey”也是一个常见的英国和爱尔兰姓氏。","- You shouldn't call her a hussey, it's not respectful. (你不应该骂她是女流氓，这不尊重人)\n\n- That hussey deceived my brother and took all his money. (那个女流氓欺骗了我的哥哥，把他的所有钱都拿走了)\n\n- John Hussey is a famous cricket player. (John Hussey是一个著名的板球运动员)\n\n\n\n请注意，后一句的“Hussey”指的是人名，不带有任何贬义。","'Hussey' 并没有明确的词根展示，它是一个来自古代英语的词。","'Hussey' 本身已经是一个完整的词，无法进行进一步的### 词缀分析。","'Hussey' 来源于中世纪的英格兰，最早是对女性的普通称呼，类似于现在的'miss'。但是随着时间的推移，'Hussey'的含义发生了变化，变成了对放荡不羁女性的贬义词。而作为姓氏的'Hussey'则来源于英格兰南部地区，有明确的地理标注性质。","'Hussey' 本身已经是一个完整的单词，并无法进行其他变形。","记忆'hussey'这个词的最好方法就是与相似 sounding 的单词或者场景联系起来。你可以将 'hussey' 联想为 'hussy'，这个词在现代英语中也拥有同样的意思。","Lucy used to be a kind and respectful woman. Until one day, she was influenced by some immoral women and became a hussey. People in the town were disappointed and avoided her.  (露西曾经是一个善良而尊重人的女性。直到有一天，她受到一些不道德的女性的影响，变成了一个放荡的女人。镇上的人们对此感到失望并避开她。)"
"Sinis","'Sinis'并非一个标准的英文单词，但在希腊神话中，Sinis是一个罪犯的名字。他以强大的力量和残酷的手段闻名，常在伊斯摸斯路上以弯曲的松树杀死过路的旅人。","- The strength of Sinis in Greek mythology was terrifying to those who crossed him.(希腊神话中的Sinis是那些惹上他的人心中恐怖的力量。)\n\n- Sinis would bend two pine trees to the ground and tie one of the traveler’s arm to each.(Sinis将两棵松树弯曲至地面，并将旅行者的每只手臂绑在其中一棵上。)\n\n- The dreaded punishment of Sinis was feared by every traveler.(每个旅行者都对Sinis可怕的惩罚感到恐惧。)","'Sinis'不是常规的英文单词，因此无法进行正常的词根和词缀分析","无","Sinis在希腊神话中是个非常恶名昭彰的罪犯，他在伊斯摸斯路上行凶，利用松树的弹性把过路旅行者弹飞，导致他们死状惨烈。后来，他被希腊英雄Theseus杀死，享受了他自己曾经施加给别人的同样待遇。","'Sinis'作为一个名字，在英文中没有变形。","将“Sinis”视为一个特殊的名字，联想到希腊神话中那个可怕的罪犯和他残忍的故事，会有助于记忆。","There once was a terrible criminal named Sinis in Greek mythology, who used the elasticity of pine trees to kill passers-by on the Isthmus road, resulting in a gruesome death. But one day, he was killed by the Greek hero Theseus, suffering the same fate he had once imposed on others.  \n\n曾经，在希腊神话中有一个名叫Sinis的可怕罪犯，他利用松树的弹性在伊斯摸斯道路上杀害过路的人，导致他们死状惨烈。但是有一天，他被希腊英雄Theseus杀死，遭受了他曾经施加给别人的同样的命运。"
"charge","'Charge' 是一个常用的英语单词，常见的意义有：\n\n- '费用，价钱'，例如 'entrance charge'（入场费）\n\n- '充电'，例如 'charge a phone'（给手机充电）\n\n- '控告，指责'，例如 'charge someone with a crime'（指控某人犯罪）\n\n- '冲锋'，例如 'lead a charge'（领导一次冲锋）、'charge at the enemy'（向敌人冲锋）","- 'That restaurant charges too much for their food.'（那家餐厅的食物价格太贵。）\n\n- 'Remember to charge your phone before you leave.'（记得在你离开之前给你的手机充电。）\n\n- 'The man was charged with theft.'（那个男人被指控盗窃。）\n\n- 'The soldiers charged at the enemy.'（士兵们向敌人冲锋。）","'Charge' 来自于早期的法语 'charger'，意为 'to load'（装载|），表现在英语中就是聚积，增加等含义。这也解释了为何 charge 有充电和增加费用的意思。","无","'Charge' 最早源自拉丁语中的 'carricare' ，先被引入古法语，再成为现在的英语词汇。它最初的含义是 'to load', 也就是重载，装填。而在文化背景上，它往往表示一种强烈的动作或指责。","'Charge' 的过去式和过去分词是 'charged'，现在分词是 'charging'，名词形式同样也是 'charge'。“控告、指责”的名词形式是 'charges'，形容词格式是 'chargeable'（可充电的、可控告的）。","想象一个士兵冲向电池，为它“充电”，同时还让电池付了“费用”并“控告”了电池。","Once upon a time, a brave soldier, knowing he was outnumbered, decided to charge at the enemy alone. Gripping his weapon tightly, he charged forward, the threat of his pending charges giving him courage.\n\n曾经有一次，一个勇敢的士兵，虽然知道自己寡不敌众，但依然决定单枪匹马冲向敌人。他紧紧握着武器，向前冲，对即将面临的指控的威胁给了他勇气。"
